Order ID,Order Date,Ship Mode,Segment,Region,Category,Product Name,Sales,Quantity,Profit
ORD-1001,2024-01-15,Standard Class,Consumer,East,Office Supplies,Binders,120.50,3,35.20
ORD-1002,2024-01-18,Second Class,Corporate,West,Technology,Smartphone,799.99,1,240.00
ORD-1003,2024-01-22,First Class,Home Office,Central,Furniture,Chair,245.00,2,65.00
ORD-1004,2024-02-01,Standard Class,Consumer,South,Office Supplies,Paper,45.00,5,12.00
ORD-1005,2024-02-10,Second Class,Corporate,East,Technology,Laptop,1250.00,1,375.00
ORD-1006,2024-02-14,First Class,Home Office,West,Furniture,Desk,550.00,1,110.00
ORD-1007,2024-02-20,Standard Class,Consumer,Central,Office Supplies,Stapler,25.00,2,8.00
ORD-1008,2024-03-05,Second Class,Corporate,South,Technology,Monitor,320.00,2,64.00
ORD-1009,2024-03-12,First Class,Home Office,East,Furniture,Shelf,180.00,1,45.00
ORD-1010,2024-03-18,Standard Class,Consumer,West,Office Supplies,Envelopes,12.50,10,3.00
ORD-1011,2024-03-22,Second Class,Corporate,Central,Technology,Tablet,450.00,1,90.00
ORD-1012,2024-04-01,First Class,Home Office,South,Furniture,Cabinet,320.00,1,70.00
ORD-1013,2024-04-10,Standard Class,Consumer,East,Office Supplies,Pens,30.00,6,8.00
ORD-1014,2024-04-15,Second Class,Corporate,West,Technology,Printer,280.00,1,56.00
ORD-1015,2024-04-20,First Class,Home Office,Central,Furniture,Stool,75.00,2,18.00
ORD-1016,2024-05-05,Standard Class,Consumer,South,Office Supplies,Scissors,15.00,3,4.00
ORD-1017,2024-05-12,Second Class,Corporate,East,Technology,Webcam,89.99,2,18.00
ORD-1018,2024-05-18,First Class,Home Office,West,Furniture,Bookshelf,210.00,1,42.00
ORD-1019,2024-05-22,Standard Class,Consumer,Central,Office Supplies,Tape,8.50,8,2.00
ORD-1020,2024-06-01,Second Class,Corporate,South,Technology,Headphones,65.00,3,13.00
ORD-1021,2024-06-10,First Class,Home Office,East,Furniture,Table,400.00,1,100.00
ORD-1022,2024-06-15,Standard Class,Consumer,West,Office Supplies,Labels,22.00,4,5.50
ORD-1023,2024-06-20,Second Class,Corporate,Central,Technology,Keyboard,45.00,2,9.00
ORD-1024,2024-07-05,First Class,Home Office,South,Furniture,Mirror,95.00,1,20.00
ORD-1025,2024-07-12,Standard Class,Consumer,East,Office Supplies,Calendars,14.00,3,3.50
ORD-1026,2024-07-18,Second Class,Corporate,West,Technology,Mouse,25.00,5,6.25
ORD-1027,2024-07-22,First Class,Home Office,Central,Furniture,Rug,120.00,1,30.00
ORD-1028,2024-08-01,Standard Class,Consumer,South,Office Supplies,Notebooks,18.00,4,4.50
ORD-1029,2024-08-10,Second Class,Corporate,East,Technology,Speakers,70.00,2,14.00
ORD-1030,2024-08-15,First Class,Home Office,West,Furniture,Coat Rack,55.00,1,12.00
